,Data,Result,Reason
8463,Ruby,0,not detected as hard skill
8464,Rails,0,not detected as hard skill
8465,Ember.js,1,unusual word
8466,Golang,1,unusual word
8467,your teammates,0,not detected as hard skill
8468,internal and external stakeholders,1,not in english dictionary
8469,enhancements,0,not detected as hard skill
8470,Backend applications,1,in sample of hard skills
8471,"(e.g., Ruby",1,in sample of hard skills
8472,Rails,0,not detected as hard skill
8473,Node)Frontend applications,1,unusual word
8474,"e.g., Ember.js",1,in sample of hard skills
8475,maintainable code,1,unusual word
8476,deployment,1,in sample of hard skills
8477,an eagerness,1,unusual word
8478,humility,0,not detected as hard skill
8479,trade offs,0,not detected as hard skill
8480,project blockers,1,in sample of hard skills
8481,Ruby,0,not detected as hard skill
8482,Rails,0,not detected as hard skill
8483,Ember.js,1,unusual word
8484,Golang,1,unusual word
8485,your teammates,0,not detected as hard skill
8486,internal and external stakeholders,1,not in english dictionary
8487,enhancements,0,not detected as hard skill
8488,Backend applications,1,in sample of hard skills
8489,"(e.g., Ruby",1,in sample of hard skills
8490,Rails,0,not detected as hard skill
8491,Node)Frontend applications,1,unusual word
8492,"e.g., Ember.js",1,in sample of hard skills
8493,maintainable code,1,unusual word
8494,deployment,1,in sample of hard skills
8495,an eagerness,1,unusual word
8496,humility,0,not detected as hard skill
8497,functionality,1,in sample of hard skills
8498,complex product defects,1,in sample of hard skills
8499,assigned HelpSystems product(s,1,more than one capital letter
8500,all Agile ceremonies,1,in sample of hard skills
8501,e.g. LinkedIn Learning,1,in sample of hard skills
8502,less complex technical specifications,1,in sample of hard skills
8503,conceptual design,1,in sample of hard skills
8504,defect,0,not detected as hard skill
8505,fixes,0,not detected as hard skill
8506,project deadlines,1,in sample of hard skills
8507,product documentation,1,in sample of hard skills
8508,minimal supervision,0,not detected as hard skill
8509,Some latitude,0,not detected as hard skill
8510,independent judgement,0,not detected as hard skill
8511,Assist or mentor other less experienced team members,0,not detected as hard skill
8512,Undergraduate degree,0,not detected as hard skill
8513,demonstrable experience,1,unusual word
8514,Strong proficiency,0,not detected as hard skill
8515,JavaScript,1,in sample of hard skills
8516,TypeScript,1,more than one capital letter
8517,developing enterprise ready web applications,1,in sample of hard skills
8518,Thorough understanding,0,not detected as hard skill
8519,its core principals,1,in sample of hard skills
8520,Node,0,not detected as hard skill
8521,JS,1,in sample of hard skills
8522,"SOLID, object-oriented design",1,more than one capital letter
8523,object modelling,1,in sample of hard skills
8524,concurrency,1,unusual word
8525,asynchrony,1,unusual word
8526,communications and data protocols,1,in sample of hard skills
8527,XML,1,in sample of hard skills
8528,JSON,1,more than one capital letter
8529,protocols,1,in sample of hard skills
8530,gRPC,1,more than one capital letter
8531,"experience building enterprise-ready, distributed and highly scalable systems",1,in sample of hard skills
8532,SSL,1,more than one capital letter
8533,authentication mechanisms,1,in sample of hard skills
8534,domain authentication,1,in sample of hard skills
8535,OAuth,1,more than one capital letter
8536,Web Sockets,1,in sample of hard skills
8537,STS,1,more than one capital letter
8538,the overall enterprise architecture landscape,1,in sample of hard skills
8539,craft enterprise-level technical designs/solutions,1,in sample of hard skills
8540,well architected solutions,1,unusual word
8541,the Salesforce platform,1,in sample of hard skills
8542,its growing ecosystem,0,not detected as hard skill
8543,cross-cloud integration,1,in sample of hard skills
8544,target state solution architectures,1,in sample of hard skills
8545,architectural assessments,0,not detected as hard skill
8546,roadmaps,1,unusual word
8547,client business objectives,1,in sample of hard skills
8548,gaps,0,not detected as hard skill
8549,client's current and desired end-states,1,in sample of hard skills
8550,integrations,1,in sample of hard skills
8551,"large, complex Salesforce implementations",1,in sample of hard skills
8552,Slalom’s Salesforce Enterprise Architecture capability,1,in sample of hard skills
8553,internal strategic initiatives,1,in sample of hard skills
8554,other architects,0,not detected as hard skill
8555,an active contributor,0,not detected as hard skill
8556,a target billable utilization,1,in sample of hard skills
8557,CRM experience,1,in sample of hard skills
8558,the Salesforce ecosystem,1,in sample of hard skills
8559,similar consulting roles,1,in sample of hard skills
8560,the Salesforce product suite,1,in sample of hard skills
8561,analytics,1,in sample of hard skills
8562,Familiarity,0,not detected as hard skill
8563,sophisticated programming concepts,1,in sample of hard skills
8564,bulk patterns,0,not detected as hard skill
8565,asynchronous operations,1,unusual word
8566,effective testing methodologies,1,in sample of hard skills
8567,systems architecture landscapes,1,in sample of hard skills
8568,gaps,0,not detected as hard skill
8569,roadmaps,1,unusual word
8570,the client's desired outcomes,1,in sample of hard skills
8571,continuous integration/delivery methodologies,1,in sample of hard skills
8572,solution designers,1,in sample of hard skills
8573,programmers,0,not detected as hard skill
8574,Strong verbal and written communication skills,1,in sample of hard skills
8575,backend services,1,in sample of hard skills
8576,"scalable, well-designed software",1,unusual word
8577,Entrepreneurial spirit,0,not detected as hard skill
8578,a startup CEO,1,more than one capital letter
8579,fast-paced environments,1,in sample of hard skills
8580,ambiguity,0,not detected as hard skill
8581,technical and non-technical audiences,1,in sample of hard skills
8582,Typescript,1,unusual word
8583,Javascript,1,not in english dictionary
8584,a modern web stack,1,in sample of hard skills
8585,Javascript bundlers,1,not in english dictionary
8586,React internals,1,unusual word
8587,"scalable, well-designed software",1,unusual word
8588,Entrepreneurial spirit,0,not detected as hard skill
8589,a startup CEO,1,more than one capital letter
8590,fast-paced environments,1,in sample of hard skills
8591,ambiguity,0,not detected as hard skill
8592,technical and non-technical audiences,1,in sample of hard skills
8593,Ruby,0,not detected as hard skill
8594,Object-Oriented programming,1,in sample of hard skills
8595,speaking engagements,0,not detected as hard skill
8596,blogs,1,not in english dictionary
8597,Comfortability,1,unusual word
8598,Agile methods,1,in sample of hard skills
8599,XP,1,in sample of hard skills
8600,Scrum,0,not detected as hard skill
8601,Kanban,1,unusual word
8602,technical excellence,1,in sample of hard skills
8603,ambiguous situations,0,not detected as hard skill
8604,multiple perspectives,1,in sample of hard skills
8605,AWS,1,in sample of hard skills
8606,Azure,1,in sample of hard skills
8607,Kubernetes,1,in sample of hard skills
8608,Docker,1,unusual word
8609,software consulting,1,in sample of hard skills
8610,ideation,1,unusual word
8611,deployment,1,in sample of hard skills
8612,a mentor,0,not detected as hard skill
8613,less-experienced peers,0,not detected as hard skill
8614,constraints,0,not detected as hard skill
8615,continuous delivery practices,1,in sample of hard skills
8616,"collaborative, product-focused teams",1,in sample of hard skills
8617,innovative customer experiences,1,in sample of hard skills
8618,the latest Object-Oriented technology,1,in sample of hard skills
8619,TDD,1,more than one capital letter
8620,continuous integration,1,in sample of hard skills
8621,pairing,0,not detected as hard skill
8622,infrastructure automation,1,in sample of hard skills
8623,technical excellence,1,in sample of hard skills
8624,ambiguous situations,0,not detected as hard skill
8625,multiple perspectives,1,in sample of hard skills
8626,functional programming paradigms,1,in sample of hard skills
8627,Clojure,1,unusual word
8628,Scala,0,not detected as hard skill
8629,AWS,1,in sample of hard skills
8630,Docker,1,unusual word
8631,Kubernetes,1,in sample of hard skills
8632,presentations,0,not detected as hard skill
8633,relevant Hatch subject matter experts,0,not detected as hard skill
8634,commitments,0,not detected as hard skill
8635,oversight,0,not detected as hard skill
8636,assignments,0,not detected as hard skill
8637,assignments,0,not detected as hard skill
8638,mentorship,1,unusual word
8639,gasification,1,unusual word
8640,solids,0,not detected as hard skill
8641,fluid bed reactors,0,not detected as hard skill
8642,syngas coolers,1,unusual word
8643, Evaluate process alternatives,1,in sample of hard skills
8644, equipment specification packages,0,not detected as hard skill
8645,technical project deliverables,1,in sample of hard skills
8646,presentations,0,not detected as hard skill
8647,procurement activities,1,in sample of hard skills
8648,field verification,1,in sample of hard skills
8649,construction and vendor fabrication assistance,1,in sample of hard skills
8650, Mechanical or Chemical Engineering Degree,1,in sample of hard skills
8651,an accredited University,0,not detected as hard skill
8652,Professional Engineer and PMP certifications,1,in sample of hard skills
8653,inception,0,not detected as hard skill
8654,piloting,0,not detected as hard skill
8655,commercial deployment,1,in sample of hard skills
8656, Willingness,0,not detected as hard skill
8657,problem-solving skills,0,not detected as hard skill
8658,our clients' toughest challenges,0,not detected as hard skill
8659, Self-starter,1,in sample of hard skills
8660,workflows,1,unusual word
8661,a multidisciplinary team,0,not detected as hard skill
8662,disciplines,0,not detected as hard skill
8663,Keen business acumen,1,in sample of hard skills
8664, Theoretical and practical design knowledge,1,in sample of hard skills
8665,pressurized vessels,0,not detected as hard skill
8666,Agile practices,1,in sample of hard skills
8667,high performing data streams,1,in sample of hard skills
8668,APIs,1,more than one capital letter
8669,Utilize test,1,in sample of hard skills
8670,programming and continuous integration development methods,1,in sample of hard skills
8671, Object Oriented Programming,1,in sample of hard skills
8672, Java/C#/Python,1,in sample of hard skills
8673, Big data/Hadoop/Spark,1,in sample of hard skills
8674, Ambition,0,not detected as hard skill
8675,Designing,1,in sample of hard skills
8676,"high-volume, low-latency applications",0,not detected as hard skill
8677,organizational needs,1,in sample of hard skills
8678,Coding,0,not detected as hard skill
8679,APIs,1,more than one capital letter
8680,detailed automation processes,1,in sample of hard skills
8681,API design,1,in sample of hard skills
8682,the technical testing repository,1,in sample of hard skills
8683,qualification test results,1,in sample of hard skills
8684,deployment activities,1,in sample of hard skills
8685,integration and sandbox environments,1,in sample of hard skills
8686,Support Geotab global strategic initiatives,1,unusual word
8687,object-oriented programming,1,in sample of hard skills
8688,scalable applications,1,unusual word
8689,middleware applications,1,unusual word
8690,Post-Secondary Diploma/Degree specialization,0,not detected as hard skill
8691,"high-quality, reliable and maintainable code",1,in sample of hard skills
8692,backend rest API,1,in sample of hard skills
8693,Node.js.. Experience,1,in sample of hard skills
8694,Swagger/Yaml REST API interface design,1,unusual word
8695,API specification,1,in sample of hard skills
8696,Python,0,not detected as hard skill
8697,Google Compute Engine,1,in sample of hard skills
8698,Google BigQuery,1,in sample of hard skills
8699,SQL Server and Postgres database design,1,in sample of hard skills
8700,optimization,1,in sample of hard skills
8701,queries,0,not detected as hard skill
8702,e.g. HTML/CSS,1,in sample of hard skills
8703,JavaScript,1,in sample of hard skills
8704,XML,1,in sample of hard skills
8705,ES6,1,more than one capital letter
8706,jQuery,1,unusual word
8707,JavaScript frameworks,1,in sample of hard skills
8708,e.g. Angular,1,in sample of hard skills
8709,Node.js,0,not detected as hard skill
8710,Vue.js,1,unusual word
8711,UI/UX design,1,in sample of hard skills
8712,databases,0,not detected as hard skill
8713,e.g. MySQL,1,in sample of hard skills
8714,multiple general purpose programming languages,1,in sample of hard skills
8715,Proficiency,0,not detected as hard skill
8716,Git,0,not detected as hard skill
8717,merge conflicts,0,not detected as hard skill
8718,meticulous attention,0,not detected as hard skill
8719,Strong analytical skills,0,not detected as hard skill
8720,well-judged decisions,0,not detected as hard skill
8721,Technical competence,1,in sample of hard skills
8722,Docs,0,not detected as hard skill
8723,Slides,0,not detected as hard skill
8724,a self starter,1,in sample of hard skills
8725,Entrepreneurial mindset,1,not in english dictionary
8726,coding standards,1,in sample of hard skills
8727,call stacks,0,not detected as hard skill
8728,automation,1,in sample of hard skills
8729,object-orientated or functional programming,1,in sample of hard skills
8730,Python,0,not detected as hard skill
8731,e.g. HTML/CSS,1,in sample of hard skills
8732,JavaScript,1,in sample of hard skills
8733,XML,1,in sample of hard skills
8734,ES6,1,more than one capital letter
8735,jQuery,1,unusual word
8736,JavaScript,1,in sample of hard skills
8737,"Angular, React",0,not detected as hard skill
8738,Vue.js,1,unusual word
8739,SQL database design,1,in sample of hard skills
8740,optimization,1,in sample of hard skills
8741,queries,0,not detected as hard skill
8742,MVC,1,in sample of hard skills
8743,Git,0,not detected as hard skill
8744,Jira,1,unusual word
8745,Cloud computing experience,1,in sample of hard skills
8746,GC,1,more than one capital letter
8747,AWS,1,in sample of hard skills
8748,Azure,1,in sample of hard skills
8749,Bachelor,0,not detected as hard skill
8750,application storyboards,1,in sample of hard skills
8751,"efficient, reusable, reliable code",1,in sample of hard skills
8752,high throughput,0,not detected as hard skill
8753,"critical, scalable applications",1,unusual word
8754,responsiveness,0,not detected as hard skill
8755,TDD,1,more than one capital letter
8756,peer code reviews,1,in sample of hard skills
8757,coding standards,1,in sample of hard skills
8758,object-orientated or functional programming,1,in sample of hard skills
8759,e.g. HTML/CSS,1,in sample of hard skills
8760,JavaScript,1,in sample of hard skills
8761,XML,1,in sample of hard skills
8762,ES6,1,more than one capital letter
8763,jQuery,1,unusual word
8764,JavaScript,1,in sample of hard skills
8765,"Angular, React",0,not detected as hard skill
8766,Vue.js,1,unusual word
8767,SQL database design,1,in sample of hard skills
8768,optimization,1,in sample of hard skills
8769,queries,0,not detected as hard skill
8770,MVC,1,in sample of hard skills
8771,Git,0,not detected as hard skill
8772,Jira,1,unusual word
8773,Cloud computing experience,1,in sample of hard skills
8774,GC,1,more than one capital letter
8775,AWS,1,in sample of hard skills
8776,Azure,1,in sample of hard skills
8777,Bachelor,0,not detected as hard skill
8778,"efficient, reusable, reliable code",1,in sample of hard skills
8779,high throughput,0,not detected as hard skill
8780,scalable applications,1,unusual word
8781,application storyboards,1,in sample of hard skills
8782,responsiveness,0,not detected as hard skill
8783,TDD,1,more than one capital letter
8784,peer code reviews,1,in sample of hard skills
8785,coding standards,1,in sample of hard skills
8786,a mentor,0,not detected as hard skill
8787,SME,1,more than one capital letter
8788,a high competency,0,not detected as hard skill
8789,object-orientated or functional programming,1,in sample of hard skills
8790,Python,0,not detected as hard skill
8791,e.g. HTML/CSS,1,in sample of hard skills
8792,JavaScript,1,in sample of hard skills
8793,XML,1,in sample of hard skills
8794,ES6,1,more than one capital letter
8795,jQuery,1,unusual word
8796,JavaScript,1,in sample of hard skills
8797,"Angular, React",0,not detected as hard skill
8798,Vue.js,1,unusual word
8799,UI/UX designers,1,in sample of hard skills
8800,SQL database design,1,in sample of hard skills
8801,optimization,1,in sample of hard skills
8802,MVC,1,in sample of hard skills
8803,Git,0,not detected as hard skill
8804,Jira,1,unusual word
8805,Cloud computing experience,1,in sample of hard skills
8806,GC,1,more than one capital letter
8807,AWS,1,in sample of hard skills
8808,Azure,1,in sample of hard skills
8809,Bachelor,0,not detected as hard skill
8810,REST APIs,1,more than one capital letter
8811,object oriented design,1,in sample of hard skills
8812,optimization,1,in sample of hard skills
8813,multithreaded programming,1,unusual word
8814,PostgreSQL,1,more than one capital letter
8815,Google BigQuery,1,in sample of hard skills
8816,Docker,1,unusual word
8817,Kubernetes,1,in sample of hard skills
8818,quality assurance,1,in sample of hard skills
8819,coding standards,1,in sample of hard skills
8820,call stacks,0,not detected as hard skill
8821,prototypes,0,not detected as hard skill
8822,proofs,0,not detected as hard skill
8823,resellers,1,unusual word
8824,frameworks,1,in sample of hard skills
8825,a high competency,0,not detected as hard skill
8826,object-orientated or functional programming,1,in sample of hard skills
8827,Python,0,not detected as hard skill
8828,e.g. HTML/CSS,1,in sample of hard skills
8829,JavaScript,1,in sample of hard skills
8830,XML,1,in sample of hard skills
8831,ES6,1,more than one capital letter
8832,jQuery,1,unusual word
8833,JavaScript,1,in sample of hard skills
8834,"Angular, React",0,not detected as hard skill
8835,Vue.js,1,unusual word
8836,SQL database design,1,in sample of hard skills
8837,optimization,1,in sample of hard skills
8838,queries,0,not detected as hard skill
8839,MVC,1,in sample of hard skills
8840,Git,0,not detected as hard skill
8841,Jira,1,unusual word
8842,Docker,1,unusual word
8843,Kubernetes,1,in sample of hard skills
8844,Cloud computing experience,1,in sample of hard skills
8845,GC,1,more than one capital letter
8846,AWS,1,in sample of hard skills
8847,Azure,1,in sample of hard skills
8848,Bachelor,0,not detected as hard skill
8849,quality assurance,1,in sample of hard skills
8850,coding standards,1,in sample of hard skills
8851,call stacks,0,not detected as hard skill
8852,prototypes,0,not detected as hard skill
8853,proofs,0,not detected as hard skill
8854,resellers,1,unusual word
8855,frameworks,1,in sample of hard skills
8856,a high competency,0,not detected as hard skill
8857,object-orientated or functional programming,1,in sample of hard skills
8858,Python,0,not detected as hard skill
8859,e.g. HTML/CSS,1,in sample of hard skills
8860,JavaScript,1,in sample of hard skills
8861,XML,1,in sample of hard skills
8862,ES6,1,more than one capital letter
8863,jQuery,1,unusual word
8864,JavaScript,1,in sample of hard skills
8865,"Angular, React",0,not detected as hard skill
8866,Vue.js,1,unusual word
8867,SQL database design,1,in sample of hard skills
8868,optimization,1,in sample of hard skills
8869,queries,0,not detected as hard skill
8870,MVC,1,in sample of hard skills
8871,Git,0,not detected as hard skill
8872,Jira,1,unusual word
8873,Docker,1,unusual word
8874,Kubernetes,1,in sample of hard skills
8875,Cloud computing experience,1,in sample of hard skills
8876,GC,1,more than one capital letter
8877,AWS,1,in sample of hard skills
8878,Azure,1,in sample of hard skills
8879,Bachelor,0,not detected as hard skill
8880,The DevOps Engineer,1,in sample of hard skills
8881,Kubernetes,1,in sample of hard skills
8882,containers,0,not detected as hard skill
8883,microservice architecture,1,unusual word
8884,the Data and Analytics team,1,in sample of hard skills
8885,Kubernetes infrastructure,1,in sample of hard skills
8886,scalability,1,unusual word
8887,productions systems,1,in sample of hard skills
8888,a DevOps Engineer,1,in sample of hard skills
8889,deployment solutions,1,in sample of hard skills
8890,Kubernetes clusters,1,in sample of hard skills
8891,Google Kubernetes Engine,1,in sample of hard skills
8892,Terraform,1,unusual word
8893,Kubernetes,1,in sample of hard skills
8894,microservice development,1,unusual word
8895,Geotab,1,unusual word
8896,documentation,1,in sample of hard skills
8897,workshops,0,not detected as hard skill
8898,Enterprise wide strategic initiatives,1,in sample of hard skills
8899,our Cloud & DevOps roadmap,1,in sample of hard skills
8900,Kubernetes,1,in sample of hard skills
8901,containers,0,not detected as hard skill
8902,microservice architecture,1,unusual word
8903,the Data and Analytics team,1,in sample of hard skills
8904,deployment solutions,1,in sample of hard skills
8905,multiple Kubernetes clusters,1,in sample of hard skills
8906,configuration management,1,in sample of hard skills
8907,automated pipelines,1,in sample of hard skills
8908,standardized templates,0,not detected as hard skill
8909,Pre-production Acceptance Testing,1,in sample of hard skills
8910,System troubleshooting,1,in sample of hard skills
8911,platform and application domains,1,in sample of hard skills
8912,Kubernetes,1,in sample of hard skills
8913,microservice development,1,unusual word
8914,Geotab,1,unusual word
8915,that adequate troubleshooting tools,1,unusual word
8916,all Kubernetes clusters,1,in sample of hard skills
8917,vendor products,1,in sample of hard skills
8918,Geotab’s DevOps team,1,unusual word
8919,DevOps standards,1,in sample of hard skills
8920,Post-Secondary Degree/Diploma Specialization,0,not detected as hard skill
8921,Google Cloud Certified,1,in sample of hard skills
8922,Professional Cloud Architect,1,in sample of hard skills
8923,AWS Certified Cloud Practitioner,1,in sample of hard skills
8924,MCSA Windows Server Certification,1,more than one capital letter
8925,Kubernetes\OpenShift,1,in sample of hard skills
8926,Istio,1,unusual word
8927,Helm,0,not detected as hard skill
8928,container technologies,1,in sample of hard skills
8929,Docker,1,unusual word
8930,containerd,1,unusual word
8931,rkt,1,unusual word
8932,e.g. GCS,1,in sample of hard skills
8933,VPC,1,more than one capital letter
8934,IAM,1,in sample of hard skills
8935,KMS,1,more than one capital letter
8936,BigQuery,1,more than one capital letter
8937,Cloud Pub/Sub,1,in sample of hard skills
8938,Dataproc,1,unusual word
8939,an Google Cloud Platform based cloud solution,1,in sample of hard skills
8940,scalability,1,unusual word
8941,a DevOps Engineer/Solutions Architect,1,in sample of hard skills
8942,a 24x7 uptime,1,unusual word
8943,Google GCP environment,1,in sample of hard skills
8944,automation experience,1,in sample of hard skills
8945,configuration management tools,1,in sample of hard skills
8946,microservices architecture,1,unusual word
8947,Hashicorp tools,1,unusual word
8948,Terraform,1,unusual word
8949,Vault,1,in sample of hard skills
8950,CI/CD tools,1,more than one capital letter
8951,Gitlab CI/CD,1,unusual word
8952,Jenkins,1,not in english dictionary
8953,Strong scripting,0,not detected as hard skill
8954,automation skills,1,in sample of hard skills
8955,Familiarity,0,not detected as hard skill
8956,message brokers,0,not detected as hard skill
8957,Apache Kafka,1,in sample of hard skills
8958,computation engines,0,not detected as hard skill
8959,frameworks,1,in sample of hard skills
8960,Spark,1,in sample of hard skills
8961,Flink,1,unusual word
8962,such clusters,0,not detected as hard skill
8963,reliability assurance,1,in sample of hard skills
8964,technical mentorship,1,in sample of hard skills
8965,Guide Junior Developers,1,in sample of hard skills
8966,functionality,1,in sample of hard skills
8967,optimization,1,in sample of hard skills
8968,troubleshooting,1,unusual word
8969,Scrum Masters,0,not detected as hard skill
8970,project and sustainment plans,1,in sample of hard skills
8971,Coordinate setup,1,in sample of hard skills
8972,CICD pipelines,1,more than one capital letter
8973,GitHub,1,in sample of hard skills
8974,SVN,1,more than one capital letter
8975,5+ years demonstrable experience,1,unusual word
8976,Microsoft SQL,1,in sample of hard skills
8977,JavaScript,1,in sample of hard skills
8978,Vue,1,unusual word
8979,stakeholders’ vision,1,not in english dictionary
8980,(AWS,1,in sample of hard skills
8981,Agile framework,1,in sample of hard skills
8982,the Marketing/Merchandising Promotion Planning domain,1,in sample of hard skills
8983,a UI Developer Lead Java Designer-Developer,1,in sample of hard skills
8984, Convert abstract business ideas,1,in sample of hard skills
8985,technical architectures,1,in sample of hard skills
8986,implementations,0,not detected as hard skill
8987,Solutions Architect,1,in sample of hard skills
8988,Single Page Java web applications,1,in sample of hard skills
8989,Angular UI,1,in sample of hard skills
8990,backend REST based Spring Boot applications,1,in sample of hard skills
8991,mentor,0,not detected as hard skill
8992,organization's technology practices,1,in sample of hard skills
8993,organization's total Information Technology (IT) environment,1,in sample of hard skills
8994, Research marketplace,0,not detected as hard skill
8995,inefficiencies,1,unusual word
8996,Strong OO architecture,1,more than one capital letter
8997,Object-Oriented Programming,1,in sample of hard skills
8998,Spring BOOT backend REST services,1,more than one capital letter
8999,JavaScript,1,in sample of hard skills
9000,HTML5,1,in sample of hard skills
9001,Angular UI applications,1,in sample of hard skills
9002,RDBMS databases,1,more than one capital letter
9003,Oracle,1,in sample of hard skills
9004,DB2,1,in sample of hard skills
9005,Teradata,1,unusual word
9006,Oracle Http Web server,1,in sample of hard skills
9007,Oracle WebLogic application server/Tomcat,1,in sample of hard skills
9008,"creational, structural, and behavioral Java design patterns",1,unusual word
9009,functionality,1,in sample of hard skills
9010, Build APIs,1,more than one capital letter
9011, Coding,0,not detected as hard skill
9012,an exceptional user experience,1,in sample of hard skills
9013,document software functionality,1,in sample of hard skills
9014,defects,0,not detected as hard skill
9015,+,0,not detected as hard skill
9016,JUnit,1,more than one capital letter
9017,Maven,1,unusual word
9018,Spring framework / Spring Boot,1,in sample of hard skills
9019,JPA / Hibernate,1,more than one capital letter
9020,REST API,1,more than one capital letter
9021,Spring Cloud (Microservices,1,in sample of hard skills
9022,Message Queue,0,not detected as hard skill
9023,Redis,1,in sample of hard skills
9024,XML,1,in sample of hard skills
9025,RDBMS,1,more than one capital letter
9026,NoSql,1,more than one capital letter
9027,MySQL,1,in sample of hard skills
9028,MSSQL,1,more than one capital letter
9029,MongoDB,1,more than one capital letter
9030, Minimum bachelor’s degree,1,in sample of hard skills
9031,emerging technologies,1,in sample of hard skills
9032, CI/CD,1,more than one capital letter
9033,DevOps,1,in sample of hard skills
9034,daily/weekly agile ceremonies,1,in sample of hard skills
9035,complex software enhancements,1,in sample of hard skills
9036,constructive solutions,0,not detected as hard skill
9037,its main frameworks,1,in sample of hard skills
9038,HTML,1,in sample of hard skills
9039,CSS/SCSS,1,more than one capital letter
9040,Angular/React/Vue framework,1,unusual word
9041,complex software enhancements,1,in sample of hard skills
9042,OOP and Design Pattern,1,more than one capital letter
9043,SOA,1,in sample of hard skills
9044,microservices,1,unusual word
9045,threading,1,unusual word
9046,concurrency,1,unusual word
9047,frameworks/ technologies,1,in sample of hard skills
9048,Hibernate/JPA/MyBatis,1,unusual word
9049,MQ Message,1,more than one capital letter
9050,RabbitMQ/Kafka,1,more than one capital letter
9051,Redis,1,in sample of hard skills
9052,JUnit/TestNG,1,more than one capital letter
9053,RDBMS,1,more than one capital letter
9054,NoSql,1,more than one capital letter
9055,MySQL,1,in sample of hard skills
9056,PostgreSQL,1,more than one capital letter
9057,MSSQL,1,more than one capital letter
9058,MongoDB,1,more than one capital letter
9059,Git,0,not detected as hard skill
9060,SVN,1,more than one capital letter
9061,CI/CD,1,more than one capital letter
9062,DevOps,1,in sample of hard skills
9063, Excellent verbal and written communication skill,1,in sample of hard skills
9064,BSCS or related field,1,more than one capital letter
9065,MSCS,1,more than one capital letter
9066,cloud cluster management technologies,1,in sample of hard skills
9067,Kubernetes,1,in sample of hard skills
9068,productionSecurityMulti-tenant,1,more than one capital letter
9069,CKA/CKAD certification,1,more than one capital letter
9070,Helm experience,1,in sample of hard skills
9071,Familiarity,0,not detected as hard skill
9072,job scheduling,1,in sample of hard skills
9073,AWS,1,in sample of hard skills
9074,Azure,1,in sample of hard skills
9075,GCE,1,more than one capital letter
9076,Python expertise,1,in sample of hard skills
9077,BSCS or related field,1,more than one capital letter
9078,MSCS,1,more than one capital letter
9079,cloud cluster management technologies,1,in sample of hard skills
9080,Kubernetes,1,in sample of hard skills
9081,productionSecurityMulti-tenant,1,more than one capital letter
9082,CKA/CKAD certification,1,more than one capital letter
9083,Helm experience,1,in sample of hard skills
9084,Familiarity,0,not detected as hard skill
9085,job scheduling,1,in sample of hard skills
9086,AWS,1,in sample of hard skills
9087,Azure,1,in sample of hard skills
9088,GCE,1,more than one capital letter
9089,Python expertise,1,in sample of hard skills
9090,Firmware development,1,in sample of hard skills
9091,networking protocols,1,in sample of hard skills
9092,firmware,0,not detected as hard skill
9093,embedded software design experience,1,in sample of hard skills
9094,documentation,1,in sample of hard skills
9095,bachelor,0,not detected as hard skill
9096,embedded design,1,in sample of hard skills
9097,embedded systems,1,in sample of hard skills
9098,Experience programming microcontrollers,1,in sample of hard skills
9099,ARM Cortex-M experience,1,more than one capital letter
9100,both simulated and hardware test networks,1,in sample of hard skills
9101,new domains,0,not detected as hard skill
9102,Scripting languages,0,not detected as hard skill
9103,Python,0,not detected as hard skill
9104,revision control,1,in sample of hard skills
9105,bug tracking,1,in sample of hard skills
9106,Git,0,not detected as hard skill
9107,Jira,1,unusual word
9108,technical documentation,1,in sample of hard skills
9109,API specifications,1,in sample of hard skills
9110,Strong written and verbal communication skills,1,in sample of hard skills
9111,Fluency,0,not detected as hard skill
9112,embedded wireless technologies/networks,1,in sample of hard skills
9113,WiFi,1,more than one capital letter
9114,Bluetooth,1,not in english dictionary
9115,Zigbee,1,unusual word
9116,GUI application development,1,in sample of hard skills
9117,Node,0,not detected as hard skill
9118,Javascript,1,not in english dictionary
9119,C++ GUI toolkit,1,in sample of hard skills
9120,embedded OS environments,1,in sample of hard skills
9121,FreeRTOS,1,more than one capital letter
9122,Linux,1,in sample of hard skills
9123,ARM Cortex-M. Experience,1,more than one capital letter
9124,both simulated and hardware test networks,1,in sample of hard skills
9125,Molex’s Industry 4.0 SaaS suite,1,unusual word
9126,system architects,1,in sample of hard skills
9127,technical priorities,1,in sample of hard skills
9128,technical debt prioritization,1,in sample of hard skills
9129,agile development practices,1,in sample of hard skills
9130,a Scrum framework,1,in sample of hard skills
9131,multiple concurrent projects,1,in sample of hard skills
9132,Bachelor’s degree,1,in sample of hard skills
9133,SPA,1,more than one capital letter
9134,popular web development frameworks,1,in sample of hard skills
9135,Angular,0,not detected as hard skill
9136,Vue,1,unusual word
9137,flux pattern,0,not detected as hard skill
9138,Javascript,1,not in english dictionary
9139,Typescript,1,unusual word
9140,Object-Oriented Programming concepts,1,in sample of hard skills
9141,Excellent problem-solving skills,0,not detected as hard skill
9142,algorithms,0,not detected as hard skill
9143,RESTful APIs,1,more than one capital letter
9144,preferably Git,0,not detected as hard skill
9145,Excellent written and verbal communication skills,1,in sample of hard skills
9146,product architectures,1,in sample of hard skills
9147,IoT technologies,1,in sample of hard skills
9148,VueJS,1,more than one capital letter
9149,Nrgx,1,unusual word
9150,Redux,1,unusual word
9151,Vuex,1,unusual word
9152, Prioritize project requirements,1,in sample of hard skills
