Data,Result,Reason
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
(ITIL - Problem Management,1,more than one capital letter
the client’s infrastructure,1,in sample of hard skills
resiliency,1,unusual word
the occurrence,0,not detected as hard skill
repetitive administrative and operational tasks,1,in sample of hard skills
team documentation,1,in sample of hard skills
schedules,1,in sample of hard skills
client environments,0,not detected as hard skill
audit activities,1,in sample of hard skills
team mates,0,not detected as hard skill
an escalation capacity,0,not detected as hard skill
microservices architecture,1,unusual word
container technologies,1,in sample of hard skills
Kubernetes,1,in sample of hard skills
", Docker",1,unusual word
at least one major cloud provider,1,in sample of hard skills
AWS,1,in sample of hard skills
Azure,1,in sample of hard skills
code deployment,1,in sample of hard skills
Terraform,1,unusual word
software development lifecycles,1,in sample of hard skills
Comprehensive systems hardware,1,in sample of hard skills
network troubleshooting experience,1,in sample of hard skills
Common Linux distribution platform installation,1,in sample of hard skills
configuration,1,in sample of hard skills
performance tuning,1,in sample of hard skills
TCP/IP networking,1,more than one capital letter
NIC bonding and network services configuration,1,more than one capital letter
(DNS,1,more than one capital letter
NTP,1,more than one capital letter
DHCP,1,more than one capital letter
SMTP,1,more than one capital letter
at least one hypervisor,1,unusual word
VMware,1,more than one capital letter
Hyper-V,0,not detected as hard skill
KVM,1,more than one capital letter
IaaS,1,more than one capital letter
PaaS,1,more than one capital letter
SaaS,1,more than one capital letter
pros,0,not detected as hard skill
cons,0,not detected as hard skill
virtualization,1,in sample of hard skills
web servers,1,in sample of hard skills
network load balancers,1,in sample of hard skills
Scripting,0,not detected as hard skill
automation,1,in sample of hard skills
bash,1,in sample of hard skills
python,0,not detected as hard skill
ruby,0,not detected as hard skill
deployment,1,in sample of hard skills
at least one major configuration management framework,1,in sample of hard skills
i.e. Puppet,1,in sample of hard skills
Ansible,1,unusual word
troubleshooting,1,unusual word
Experience managing networking devices,1,in sample of hard skills
switches,0,not detected as hard skill
firewalls,1,unusual word
vendors,1,in sample of hard skills
DevOps tools,1,in sample of hard skills
NMS,1,more than one capital letter
accurate work scheduling,1,in sample of hard skills
estimations,1,unusual word
the operational efficiency,1,in sample of hard skills
visibility,0,not detected as hard skill
design documentation,1,in sample of hard skills
outages/incidents,0,not detected as hard skill
